Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Etsy link (product.metafields.custom.etsy_link),Introductory sentence (product.metafields.custom.introductory_sentence),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Artwork authenticity (product.metafields.shopify.artwork-authenticity),Artwork frame material (product.metafields.shopify.artwork-frame-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Frame style (product.metafields.shopify.frame-style),Neckline (product.metafields.shopify.neckline),Painting medium (product.metafields.shopify.painting-medium),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
art-from-the-heart-t-shirt-bauhaus-colourway,Art From The Heart T-Shirt - Bauhaus Colours,"<p data-path-to-node=""17"">This 'Art From The Heart' t-shirt in the Bauhaus colourway is a tribute to Modernism. I have chosen the 'Ochre 'coloured t-shirt for this design to give it a grounded, industrial-yet-natural foundation that feels both vintage and timeless.</p>
<p data-path-to-node=""18"">The design uses the iconic Modernist palette - the primary triad of Terracotta Red, Mustard, and Blues. Named after the influential German design school, this palette is known in the art world for its bold, functional beauty and its belief that art and design should be unified into one powerful expression.</p>
<p data-path-to-node=""19"">Whether it’s a thoughtful gift for the artist in your life or a well-deserved treat for yourself, this piece is designed for those who find beauty in the process, the palette, and the history of the craft.</p>",Georgina Westley Art & Design,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Colour,Ochre,,Size,X-Small,,,,,STTU169-OCH-XS,100.0,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Bauhaus_Square.png?v=1771844036,1,"",false,,,212,,adult,,,,,,,,,,,,,,adults,,,,ochre,,,,,,,unisex,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,g,,13.13,active
art-from-the-heart-t-shirt-bauhaus-colourway,,,,,,,,,Ochre,,,Small,,,,,STTU169-OCH-S,100.0,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,2,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,g,,13.13,
art-from-the-heart-t-shirt-bauhaus-colourway,,,,,,,,,Ochre,,,Medium,,,,,STTU169-OCH-M,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,g,,13.13,
art-from-the-heart-t-shirt-bauhaus-colourway,,,,,,,,,Ochre,,,Large,,,,,STTU169-OCH-L,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,g,,13.13,
art-from-the-heart-t-shirt-bauhaus-colourway,,,,,,,,,Ochre,,,X-Large,,,,,STTU169-OCH-XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,g,,13.13,
art-from-the-heart-t-shirt-bauhaus-colourway,,,,,,,,,Ochre,,,2X-Large,,,,,STTU169-OCH-2XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,g,,13.13,
art-from-the-heart-t-shirt-bauhaus-colourway,,,,,,,,,Ochre,,,3X-Large,,,,,STTU169-OCH-3XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-49d58c1ea9213b7bbb2f5069e4bfab93.png?v=1771844036,g,,13.13,
art-from-the-heart-t-shirt-monet-colourway,Art From The Heart T-Shirt Monet Colours,"<p data-path-to-node=""5"">This 'Art From The Heart' t-shirt in the Monet colourway is a tribute to the Impressionist movement. I have chosen the 'Aloe' coloured t-shirt for this design to evoke the soft, tranquil greens of the Giverny gardens and the reflection of light on water.</p>
<p data-path-to-node=""6"">The design uses a palette inspired by Monet’s Water Lilies - a harmonious blend of dusty pinks, soft lavenders and mossy greens. This selection is well known with artists for capturing the fleeting nature of light and atmosphere, moving away from harsh lines to embrace a world of soft, evocative colour.</p>
<p data-path-to-node=""7"">Whether it’s a thoughtful gift for the artist in your life or a well-deserved treat for yourself, this piece is designed for those who find beauty in the process, the palette, and the history of the craft.</p>",Georgina Westley Art & Design,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Product Type,"",true,Colour,Aloe,,Size,X-Small,,,,,STTU169-ALO-XS,100.0,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Monet_Square.png?v=1771844071,1,"",false,,,212,,,,,,,,,,,,,,,,adults,,,,aloe,,,round,,,short,unisex,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,g,,13.13,active
art-from-the-heart-t-shirt-monet-colourway,,,,,,,,,Aloe,,,Small,,,,,STTU169-ALO-S,100.0,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,2,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,g,,13.13,
art-from-the-heart-t-shirt-monet-colourway,,,,,,,,,Aloe,,,Medium,,,,,STTU169-ALO-M,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,g,,13.13,
